24.07.2026                                                           Dynamische Listenausgabe                                                                  1


	TCODE	PGMNA	DYPNO	MENUE	CINFO	ARBGB	TTEXT
	/ACCGO/LDC_DISPLAY	/ACCGO/R_DISPLAY_LDC	 1000		   80		Einzelne LDE-Anzeige
	/ACCGO/LDC_MASS_CRT	/ACCGO/MASS_LDC_CREATE2	 1000		   80		Massen-LDE anlegen
	/ACCGO/LDC_MCV		 0000		   02		Massenerstellung/Validierung für LDE
	/ACCGO/LDC_WC	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Ladedatenerfassung pflegen
	/ACCGO/LIENNUMRANGE		 0000		   02		Nummernkreis f. Pfandrecht bearbeit.
	/ACCGO/LIEN_MAINT	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Pfandrechtverwaltung
	/ACCGO/LTC_MODE		 0000		   02		LTK-Anlegemodus pflegen
	/ACCGO/MAINTAIN_DPQS		 0000		   02		QSAA-Stammdaten pflegen
	/ACCGO/MAINTAIN_OPT		 0000		   02		Optionalitätstypen pflegen
	/ACCGO/MAINT_CALC_RL		 0000		   02		Berechnungsregeln bearbeiten
	/ACCGO/MAINT_COST		 0000		   02		Kostenpflege
	/ACCGO/MAINT_CSASP	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   04		Auditf. für Verk. auf Kred. pflegen
	/ACCGO/MAINT_CURR		 0000		   02		Außenwährung pflegen
	/ACCGO/MAINT_DERV_RL		 0000		   02		Abgeleitete Regeln pflegen
	/ACCGO/MAINT_DPQS	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Wert- und Volumenpläne pflegen
	/ACCGO/MAINT_FEE	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   04		Gebühren pflegen
	/ACCGO/MAINT_MATKEYD		 0000		   02		Pflege für Fälligkeitsstichtag
	/ACCGO/MAINT_MATNR	/ACCGO/MAINT_MAT_MASTER	 1000		   84		Report zur MassPflege v. Materialien
	/ACCGO/MAINT_MEOT		 0000		   02		Transportmodus und -mittel pflegen
	/ACCGO/MAINT_OPT_CAT		 0000		   02		Optionalitätstypen bearbeiten
	/ACCGO/MAINT_PARAMS		 0000		   02		Berechnungsregel-Parameter pflegen
	/ACCGO/MAINT_PRC_MTH	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		PreisfindMethoden-Stammdaten pflegen
	/ACCGO/MAINT_QTYPRFS		 0000		   02		Mengenarten und -profile pflegen
	/ACCGO/MAINT_SHD	/ACCGO/CMN_SHADOW_MAINTAIN	 1000		   80		Report z. Verwalt. v. Schattenposit.
	/ACCGO/MAINT_STAT		 0000		   02		Sicht für Statusverwaltung
	/ACCGO/MAINT_TABASGN		 0000		   02		UI für Rohstoffkontrakt pflegen
	/ACCGO/MAINT_TABLIST		 0000		   02		UI für Rohstoffkontrakt pflegen
	/ACCGO/MAINT_TEMPLAT		 0000		   02		Vorlage für Spot-Kontrakt pflegen
	/ACCGO/MAINT_TOLR	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Toleranzliste pflegen
	/ACCGO/MAINT_VOLASG	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Volumenplan dem TSW-Ort zuordnen
	/ACCGO/MASS_LDC_CRT	/ACCGO/MASS_LDC_CREATE	 1000		   80		LDE-Massenverarbeitung
	/ACCGO/MEK1	/ACCGO/SAPLSTOA_ASSIGN_PRICING	 0001		   00		Report z. Anleg. v. Konditionssätzen
	/ACCGO/MEK2	/ACCGO/SAPLSTOA_ASSIGN_PRICING	 0001		   00		Report z. Ändern v. Konditionssätzen
	/ACCGO/MNT_MAKT_TIME		 0000		   02		Markt-Timing pflegen
	/ACCGO/MNT_PROG_FAM		 0000		   02		Programmfamilie pflegen
	/ACCGO/MNT_PROG_TYPE		 0000		   02		Programmart pflegen
	/ACCGO/MSG_REPEAT	/ACCGO/CAS_REPEAT_MESSAGE	 1000		   84		Vorläufige AGB-Bewertung anlegen
	/ACCGO/MTC		 0000		   02		NrKreis für Auslagerungsabgl. bearb.
